COD_MANANCIAL_GCDA,LATITUDE,LONGITUDE,NOME,TIPO,ESTADO,CIDADE,COD_OM
1955,-4.057511,-38.900432,Açude Rato,ACUDE,Ceará,Maranguape,65060
1651,-3.740513,-39.357958,Açude Caxitore,ETA,Ceará,Itapagé,65060
1560,-4.302492,-40.469196,Açude Araras,ACUDE,Ceará,Hidrolândia,65060
1713,-3.91531,-40.383441,Cagece Groaíras,ETA,Ceará,Groaíras,65060
1945,-3.47044,-39.85404,MISSI,COMP_SANEAMENTO,Ceará,Irauçuba,65060
1058,-4.097025,-40.126407,RIO GROAIRAS,RIO,Ceará,Santa Quitéria,65060
126,-3.83772,-41.095862,Cagece -Tianguá (Açude Jaburu),ETA,Ceará,Tianguá,65060
94,-4.381132,-39.431694,Açude Cabral,ACUDE,Ceará,Canindé,65060
1447,-4.210158,-40.462448,Cagece Varjota,ACUDE,Ceará,Reriutaba,65060
103,-4.407796,-38.702238,Acude de aracoiaba,ACUDE,Ceará,Barreira,65060
2020,-4.305225,-39.238358,Camarão,POCO,Ceará,Canindé,65060
2021,-4.607027,-39.372373,São Luis,ACUDE,Ceará,Canindé,65060
19,-4.620341,-38.868965,Curupati,ACUDE,Ceará,Itapiúna,65060
106,-3.631184,-39.517624,Cagece - Tejucuoca,ETA,Ceará,Tururu,65060
2222,-3.780055,-38.655153,Cagece - Conjunto Ceará,ETA,Ceará,Tejuçuoca,65060
2332,-3.874225,-38.615471,ETA Cagece Maracanaú,ETA,Ceará,Banabuiú,65060
2333,-5.099803,-38.350055,Açude curral Velho,ACUDE,Ceará,Morada Nova,65060
